part	result_kind	running	processed	pruned	noncritical	critical	overfull	survivors	unclassified	result_timestamp	attempts	attempt_states	earliest_start	latest_end	slurm_wall_seconds	allocated_core_hours	json_runtime_seconds
0	final	False	164393344	1012526	163380818	0	0	0	0	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T21:43:03	2026-05-08T23:34:02	6659	88.78666666666666	6654.058
1	final	False	280889050	1511029	279378021	0	0	0	0	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T21:43:08	2026-05-09T00:07:39	8671	115.61333333333333	8667.078
2	final	False	184754456	679283	184075172	1	0	1	0	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T21:43:13	2026-05-08T23:33:05	6592	87.89333333333333	6586.012
3	final	False	429051523	762342	428289181	0	0	0	0	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T21:43:13	2026-05-09T00:34:31	10278	137.04	10272.705
4	final	False	200966422	1271623	199694799	0	0	0	0	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T21:43:17	2026-05-08T23:41:47	7110	94.8	7108.852
5	final	False	313825083	1129129	312695954	0	0	0	0	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T21:53:22	2026-05-09T00:26:40	9198	122.64	9194.04
6	final	False	259875676	1057086	258818590	0	0	0	0	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T21:56:13	2026-05-09T00:08:48	7955	106.06666666666666	7952.731
7	final	False	640239589	2343218	637896371	0	0	0	0	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T21:57:53	2026-05-09T02:35:47	16674	222.32	16671.548
8	final	False	296144847	1249804	294895043	0	0	0	0	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T22:01:34	2026-05-09T00:46:02	9868	131.57333333333332	9865.441
9	final	False	219039433	921152	218118281	0	0	0	0	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T22:01:46	2026-05-09T00:43:23	9697	129.29333333333332	9692.345
10	final	False	440244786	699054	439545732	0	0	0	0	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T22:18:36	2026-05-09T01:19:46	10870	144.93333333333334	10866.737
11	final	False	290642026	618626	290023400	0	0	0	0	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T22:21:03	2026-05-09T00:39:50	8327	111.02666666666667	8323.689
12	final	False	770195025	2552104	767642921	0	0	0	0	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T22:24:38	2026-05-09T03:04:02	16764	223.52	16760.587
13	final	False	222040818	846521	221194297	0	0	0	0	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T22:54:37	2026-05-09T01:05:58	7881	105.08	7876.844
14	final	False	108960554	730811	108229743	0	0	0	0	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T23:33:06	2026-05-09T01:00:38	5252	70.02666666666667	5251.198
15	final	False	201007356	1613783	199393572	0	0	0	1	2026-05-09T08:04:10Z	1	"{""COMPLETED"":1}"	2026-05-08T23:34:03	2026-05-09T01:29:36	6933	92.44	6932.855
