part	result_kind	running	processed	pruned	noncritical	critical	overfull	survivors	unclassified	result_timestamp	attempts	attempt_states	earliest_start	latest_end	slurm_wall_seconds	allocated_core_hours	json_runtime_seconds
0	final	False	97204537	106063	96335009	763465	756723	6742	0	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-07T20:37:06	2026-05-08T07:21:19	38653	515.3733333333333	38642.589
1	final	False	54876647	256680	53785028	834939	832531	2408	0	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-07T20:37:09	2026-05-08T06:21:58	35089	467.85333333333335	35082.235
2	final	False	35594556	97247	34579689	917619	916565	1054	1	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-07T20:37:15	2026-05-08T06:54:10	37015	493.53333333333336	37007.738
3	final	False	114537385	363960	113352435	820990	819983	1007	0	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-07T20:37:22	2026-05-08T06:02:35	33913	452.17333333333335	33906.405
4	final	False	35798243	99339	34988841	710063	707282	2781	0	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-07T20:37:29	2026-05-08T05:40:28	32579	434.38666666666666	32571.459
5	final	False	30585729	112364	29406026	1067339	1062947	4392	0	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-07T20:37:35	2026-05-08T09:44:58	47243	629.9066666666666	47235.782
6	final	False	45594156	148699	44239313	1206144	1202527	3617	0	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-07T20:37:43	2026-05-08T10:51:11	51208	682.7733333333333	51200.339
7	final	False	50494396	131329	49372227	990840	986318	4522	0	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-07T20:37:51	2026-05-08T08:58:09	44418	592.24	44409.4
8	final	False	35705981	72554	34616591	1016836	1009889	6947	0	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-07T20:38:01	2026-05-08T10:06:22	48501	646.68	48492.362
9	final	False	138511693	519091	137272674	719928	713320	6608	0	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-07T20:38:08	2026-05-08T07:00:18	37330	497.73333333333335	37322.219
10	final	False	83944501	253637	82875625	815239	811824	3415	0	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-07T20:38:13	2026-05-08T07:09:41	37888	505.17333333333335	37881.026
11	final	False	85258379	283078	83963706	1011595	1006911	4684	0	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-07T20:38:15	2026-05-08T09:29:03	46248	616.64	46242.185
12	final	False	21644771	45790	20713242	885739	879339	6400	0	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-07T20:38:16	2026-05-08T08:36:17	43081	574.4133333333333	43076.115
13	final	False	27436205	82219	26202724	1151262	1145928	5334	0	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-07T20:38:19	2026-05-08T10:42:22	50643	675.24	50640.408
14	final	False	111985648	285557	111015335	684756	679084	5672	0	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-08T05:40:29	2026-05-08T15:48:57	36508	486.7733333333333	36505.116
15	final	False	99263081	180780	97892263	1190038	1185091	4947	0	2026-05-09T02:09:17Z	1	"{""COMPLETED"":1}"	2026-05-08T06:02:36	2026-05-08T20:29:53	52037	693.8266666666667	52034.744
